722961 instructions, 998 bytes of output, saving as 'prog-9750.b'
166782 instructions, 256 bytes of output, saving as 'prog-8137.b'
167646 instructions, 2 bytes of output, saving as 'prog-7073.b'
13273 instructions, 480 bytes of output, saving as 'prog-2217.b'
166009 instructions, 56 bytes of output, saving as 'prog-6288.b'
13798 instructions, 316 bytes of output, saving as 'prog-1168.b'
497299 instructions, 2 bytes of output, saving as 'prog-2420.b'
45600 instructions, 2 bytes of output, saving as 'prog-7615.b'
16625 instructions, 2 bytes of output, saving as 'prog-8213.b'
5596033 instructions, 133190 bytes of output, saving as 'prog-6626.b'
11585 instructions, 3 bytes of output, saving as 'prog-9910.b'
54581 instructions, 137 bytes of output, saving as 'prog-2663.b'
14836 instructions, 480 bytes of output, saving as 'prog-4509.b'
25632 instructions, 964 bytes of output, saving as 'prog-0199.b'
468151 instructions, 2 bytes of output, saving as 'prog-4325.b'
25418 instructions, 19 bytes of output, saving as 'prog-6654.b'
15916 instructions, 99 bytes of output, saving as 'prog-6435.b'
16101 instructions, 3 bytes of output, saving as 'prog-9787.b'
12419 instructions, 2 bytes of output, saving as 'prog-2450.b'
10850 instructions, 241 bytes of output, saving as 'prog-9236.b'
414022 instructions, 624 bytes of output, saving as 'prog-7434.b'
306982 instructions, 178 bytes of output, saving as 'prog-7379.b'
1126589 instructions, 499 bytes of output, saving as 'prog-2839.b'
158583 instructions, 108 bytes of output, saving as 'prog-5635.b'
312190 instructions, 109 bytes of output, saving as 'prog-9874.b'
221724 instructions, 132 bytes of output, saving as 'prog-3965.b'
10596 instructions, 127 bytes of output, saving as 'prog-6543.b'
365016 instructions, 2 bytes of output, saving as 'prog-4226.b'
16286 instructions, 344 bytes of output, saving as 'prog-1072.b'
314547 instructions, 241 bytes of output, saving as 'prog-4587.b'
194114 instructions, 3 bytes of output, saving as 'prog-2833.b'
770045 instructions, 671 bytes of output, saving as 'prog-0496.b'
387331 instructions, 4 bytes of output, saving as 'prog-3099.b'
